магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ЛЕНТА СО,"114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой АКТИБИО с клубникой и черникой 1,5%, без сахара, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ЭКОМИЛК 2,5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ПРОСТОКВАШИНО 10%, без змж","63,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный ВКУСНОТЕЕВО Премиум ванильный 16%, без змж","42,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Гранат 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Клубника 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана МЗ ПИСКАРЕВСКИЙ 20%, без змж","98,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Маршмеллоу ЗАВОД ИМЕНИ ПАСТУХОВА Манго в молочном бельгийском шоколаде, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное РОГАЧЕВ цельное с сахаром 8,5%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Палочки творожные глазированные СВИТЛОГОРЬЕ с ванилью в карамельной глазури 23%, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Творожок взбитый двухслойный Клубника, земляника 4%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана БРЕСТ-ЛИТОВСК 15%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA с манго и семенами чиа 5%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биотворог для детского питания ТЕМА с клубникой и бананом 4%, без змж","32,99"
