магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ЛЕНТА 20%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ХОЗЯЙСТВО ВАСИЛЬЕВОЙ с вишней и черешней 3,2%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Воздушный Творожок взбитый со вкусом пломбир 5,8%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Паста творожная САВУШКИН Клубника 3,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Вишня, семена чиа 1,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой СВЕЖЕЕ ЗАВТРА Черника 1,9%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творожок РАСТИШКА Малина, со вкусом пломбира с голубикой 3,5%, без змж","94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный GRAND COCKTAIL Соленая карамель 4%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток растительный ЛЕНТА LIFE Йогуртный Клубника-банан,"49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творожок ДАНИССИМО Десерт двухслойный Фисташка, малина 3,9%, без змж","56,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Манго, маракуйя 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный НЕЖНЫЙ Легкий с соком персика 0,1%, без змж","14,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный LET'S GO Карамель высокобелковый без лактозы, без сахара, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль БОЛЬШАЯ КРУЖКА Шоколад с мороженым 3%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло топленое PRESIDENT 99%, без змж","424,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Тан EL'NATUR Для окрошки 0,5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ЧУДО Персик, маракуя 2%, без змж","82,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Персик 1,5%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог для питания детей ФРУТОНЯНЯ Клубника, банан и яблоко 4,2%, без змж","47,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СВИТЛОГОРЬЕ Столовый 2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ДОМИК В ДЕРЕВНЕ 3,2%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ДОМИК В ДЕРЕВНЕ 3,5%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток овсяный NEMOLOKO Лайт Классический, обогащенный витаминами и минеральными веществами","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт СВЕЖЕЕ ЗАВТРА Вишня 2,6%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог пластовой АНФИСКИНО обезжиренный менее 1,8%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ЧУДО Шоколадное настроение 4%, без змж","66,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой VIOLA Clean Label с зеленым яблоком 0,8%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток растительный NEMOLOKO Овсяный Ванильный,"96,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ЭКОНИВА Профессиональная линия Professional Line 2,5%, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток сывороточный АКТУАЛЬ Сыворотка+Сок Апельсин и манго с соком, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ИЗ ВОЛОГДЫ Вологодская 25%, без змж","144,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Very Berry с бананом 2,6%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сладкосливочное VIOLA 82,5%, без змж","429,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное PARMALAT Comfort безлактозное 0,05%, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ПРОСТОКВАШИНО 15%, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт СВЕЖЕЕ ЗАВТРА Клубника и печенье 7%, без змж","61,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный NEO Манго, гуава высокобелковый 0,3%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт DELISSE двухслойный с черникой 2,5%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масса творожная ХОЗЯЙСТВО ВАСИЛЬЕВОЙ А.В. с изюмом 4,5%, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль кефирный ПРОСТОКВАШИНО Клубника, обезжиренный, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток сывороточно-молочный МАЖИТЭЛЬ Пина Колада, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Полезный завтрак Гранола, изюм 5%, без змж","82,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный PARMALAT Чоколатта 1,9%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана PARMALAT Comfort безлактозная 15%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный РАСТИШКА Малиновое мороженое 2%, без змж","48,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное ГЛАВПРОДУКТ цельное с сахаром Экстра 8,5% без змж ГОСТ","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Творожок взбитый Ягодное мороженое 5,8%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог мягкий СВИТЛОГОРЬЕ 4%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ЛОСЕВО безлактозное 2,5%, без змж","161,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок глазированный ВЫБОР СЕМЬИ Ваниль 16%, без змж","19,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт АКТИБИО с персиком и малиной, без сахара 3% без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Продукт питьевой J7 Смузи Манго-персик-яблоко с овсяными хлопьями,"84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана МИНСКАЯ МАРКА 20%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ДАНИССИМО Фантазия Хрустящие шарики со вкусом вишни и финика 6,9%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный EPICA Flavorite Банан, ореховый крем 7,6%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Крем молочный КНЯЖЕСКИЙ ЛЮБИМЧИК Ассорти 4,5%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ВЕНСКИЙ ЗАВТРАК взбитый с черникой 7%, без змж","58,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Зефир молочный ЗАВОД ИМЕНИ ПАСТУХОВА с кофе в молочном бельгийском шоколаде, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток растительный ZINUS VEGAN Миндальный,"129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток на овсяной основе ОВСЯША Миндальный 1,5%","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LACTICA Греческий с клубникой 1,7% двухслойный, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог для питания детей ФРУТОНЯНЯ Манго, банан 4,2%, без змж","47,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт термостатный СВЕЖЕЕ ЗАВТРА 1,5%, без змж","19,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное РОГАЧЕВЪ Молочное лакомство, с хлебными палочками","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток на растительной основе BONVIDA Barista Миндальный 1,8%","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное СЕВЕРНАЯ ДОЛИНА 2,5%, без змж","144,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное ЛЕНТА вареное 8,5% без змж","134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир МИНСКАЯ МАРКА 2,5%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное BONVIDA Для капучино 3,5%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль БОЛЬШАЯ КРУЖКА Шоколад, мороженое 3%, без змж","33,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток овсяный ОВСЯША Шоколадный обогащенный витаминами и минеральными веществами 3,2%","26,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный LET'S GO Клубника высокобелковый без лактозы, без сахара, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное NATURA 82%, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ВМК Вологжанка 3,2%, без змж","95,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт DELISSE двухслойный с киви 2,5%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Миндальный 1,2%","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ПРАВИЛЬНОЕ МОЛОКО 2,5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ИМУНЕЛЕ Черника 1,2%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ДОЛГОЛЕТИЕ Айран Турецкий 1,8%, без змж","38,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой PARMALAT Comfort безлактозный Клубника 1,5%, без змж","82,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный ВКУСНОТЕЕВО Премиум с вареным сгущенным молоком 16%, без змж","42,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ПРОСТОКВАШИНО Традиционный 9%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ЭКОНИВА 2,8%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA Crispy с клубникой и кокосом 7,3%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ФРУГУРТ со вкусом черники 1%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт АКТИБИО Натуральный 3,5%, без змж","62,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток соевый GREEN MILK со вкусом банана,"114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки СВЕЖЕЕ ЗАВТРА Professional 10%, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог САВУШКИН Хуторок 9%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ДОБРЯТА Карамель 2,3%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Barista Миндальный 1,2%","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок глазированный ЧУДО со вкусом ванили 25,6%, без змж","46,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный EXPONENTA Топленое молоко, с бифидобактериями ВВ-12, обезжиренный, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное МИНСКАЯ МАРКА 82,5%, без змж","239,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный кофейный NATURA SELECTION Latte Банан, карамель 2,4%, без змж","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный для детей РАСТИШКА Клубника 2%, без змж","48,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка ХОЗЯЙСТВО ВАСИЛЬЕВОЙ с грушей и ванилью 3,6%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир СЕЛО ЗЕЛЕНОЕ 3,2%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт СЕЛО ЗЕЛЕНОЕ Клубника, миндаль, злаки 3,2%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ЭКОМИЛК 3,2%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток сывороточный СЕЛО ЗЕЛЕНОЕ Ананас, без змж","62,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ЛЕНТА LIFE отборное цельное с витаминами 3,4–4,2%, без змж","96,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой РАСТИШКА со вкусом малинового мороженого 2,8%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ВЫБОР СЕМЬИ 10%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное СЕВЕРНОЕ МОЛОКО Крестьянское 72,5%, без змж","174,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог для питания детей ФРУТОНЯНЯ Лесные ягоды 4,2%, без змж","47,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное МИНСКАЯ МАРКА 3,2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биотворог СВЕЖЕЕ ЗАВТРА Клубника, земляника 4,2%, без змж","46,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СВИТЛОГОРЬЕ с палермо в молочном шоколаде 23%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный РОСТАГРОЭКСПОРТ с молоком сгущенным вареным в молочном шоколаде 15%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный РАСТИШКА Шоколадное мороженое 2%, без змж","48,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное БОЛЬШАЯ КРУЖКА 2,5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Классический 3,4%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог для детей РАСТИШКА Земляника, черника 3,5% обогащенный, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Яйцо куриное ВАУ МЯУ! витамины А,Е С2","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Free Греческий безлактозный с апельсином и абрикосом 3%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное БЕЛОГОРЬЕ с сахаром 8,5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный GRAND DUET Айскрим лав 9,1%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток PLANTO Barista Фундук 1,7%, без змж","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масса творожная СВИТЛОГОРЬЕ с изюмом 14%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ДАНИССИМО Фантазия Манго-маракуйя c шариками 6,9%, без змж","69,90"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой VIOLA Free Клубника, ананас безлактозный 1,1%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пирожное бисквитное MILKA Шоколадный перекус, с кремом из цельного молока в молочном шоколаде, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ИЗ ВОЛОГДЫ Вологодская 25%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный GRAND DESERT Шоко трио 7,3%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой СВЕЖЕЕ ЗАВТРА Ананас безлактозный 1,5%, без змж","67,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ацидофилин ЛОСЕВО 3%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло топленое ЛЕНТА LIFE ГХИ 99%, без змж","549,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Сок охлажденный J7 Fresh Taste Яблоко осветленный,"209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA Натуральный 6%, без змж","46,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный РОСТАГРОЭКСПОРТ Ваниль Диетический 5%, без змж","32,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Брауни А.РОСТАГРОКОМПЛЕКС с грецким орехом и карамелью,"88,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ультрапастеризованный HYPER со вкусом Банана, обогащенный белком безлактозный, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ЛЕНТА FRESH Яркий желток С1,"69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный для детей РАСТИШКА Ванильное мороженое 2%, без змж","48,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт молочный сгущенный 365 ДНЕЙ Сгущенка с сахаром 1%, без змж","83,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Продукт овсяный VELLE Печеное яблоко,"51,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана PARMALAT Comfort безлактозная 20%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный РУДИ с ароматом ванилина 23%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Соевый со вкусом ванильного пломбира 0,7%","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт растительный со сметаной 365 ДНЕЙ 15%, с змж","33,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный FRUTTIS Суперэкстра Банана-сплит/Пина колада 8%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток сывороточно-молочный МАЖИТЭЛЬ Мультифрукт 0,05%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог зерненый САВУШКИН Манго-чиа 3%, без змж","62,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный LET'S GO Ваниль безлактозный с коллагеном 5%, без змж","58,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ВАУ МЯУ! Шоколадный 3,2%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ТЫСЯЧА ОЗЕР 82,5%, без змж","419,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый САВУШКИН 5%, без змж","284,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ПРОСТОКВАШИНО 3,2%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные BONVIDA Для взбивания 33%, без змж","509,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Кокос, сливки 2%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ДЛЯ ВСЕЙ СЕМЬИ Абрикос 1%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток растительный NEMOLOKO Классический Лайт Рисовый,"109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль БОЛЬШАЯ КРУЖКА Банан, мороженое 3%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ЭКОНИВА Наше дело 82,5%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное PARMALAT Dietalat Edge 0,5%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт глазированный 365 ДНЕЙ с ароматом ванили 23%, с змж","14,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный 365 ДНЕЙ Айран негазированный 0,1%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ISEY SKYR с печеным яблоком 1,2%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный EPICA Flavorite Соленая карамель 7,6%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный САФIЙКА Ваниль 26%, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Маргарин ХОЗЯЮШКА Нижегородский Сливочный 60%, с змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ЛЕНТА FRESH с вишней 2,7%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Фисташковый пломбир 0,7%","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ДОМИК В ДЕРЕВНЕ Для капучино 3,2%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный БОЛЬШАЯ КРУЖКА Пломбир с мороженым 3%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт из сливок КОЛОМЕНСКОЕ Крем-брюле 13%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Масло кокосовое DELICATO рафинированное отбеленное дезодорированное,"199,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ГАРМОНИЯ 5%, без змж","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное ЛЕНТА цельное с сахаром 8,5% без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт СЕЛО ЗЕЛЕНОЕ Персик, курага, орехи, мед 3,2%, без змж","78,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ЭКОМИЛК Шоколадное 62%, без змж","199,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный САВУШКИН Топ шейк Кокос 2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ХОЗЯЙСТВО ВАСИЛЬЕВОЙ из топленого молока 9%, без змж","144,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог КФХ ГЕОРГИЕВ 5%, без змж","259,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт с творогом 365 ДНЕЙ Масса домашняя с курагой 23%, с змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ХОЗЯЙСТВО ВАСИЛЬЕВОЙ А.В. 20%, без змж","67,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Смесь растительно-жировая топленая ХОЗЯЮШКА 99,7%","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный пастеризованный FRUTTIS Вкусный перерыв Малина, черника с топпером 2,5%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ЛЕНТА FRESH Греческий 4%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки сгущенные РОГАЧЕВЪ с сахаром 19%, без змж","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт из сливок КОЛОМЕНСКОЕ Тирамису 13%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный LET'S GO Шоколад высокобелковый без лактозы, без сахара, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный пастеризованный ЭКОМИЛК Клубничный 2%, без змж","134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Карамель 0,7%","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные VIOLA 10%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное РОГАЧЕВЪ с натуральным кофе 7%, без змж","214,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ЛЕНТА высший сорт 82,5% ГОСТ, без змж","399,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Трубочка для молока ЕДИНОРОЖКИ Ягодный микс, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой СВЕЖЕЕ ЗАВТРА Гранат, малина безлактозный 1,5%, без змж","67,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Капучино 2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ПЕТМОЛ Для взбивания 33%, без змж","564,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой РАСТИШКА Клубника, малина, земляника 1,6%, без змж","27,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Кокосовый с рисом 0,9%","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ПРОСТОКВАШИНО 2,5%, без змж","139,99"
